Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT,TC
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,25,381.481
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,100,371.33
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,200,367.57
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,300,365.12
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,400,357.16
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,500,360.54
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,600,357.2
0,0.88,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,700,346.49
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,25,403.05
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,100,386.17
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,200,390.49
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,300,384.06
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,400,374.32
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,500,373.62
0,0.94,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,600,362.75
0,0,0.94,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,700,353.91
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,25,11.021
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,100,11.01
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,200,11.76
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,300,13.49
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,400,15.2
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,500,17.09
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,600,18.81
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,700,21.3
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,800,25.77
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,900,25.52
0.6572,0,0,0.21,0.087,0.034,0,0.0036,0.0036,0.003,0.0009,0,0.0007,0,0,0,0,0,0,0,1000,27.33
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,25,13.656
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,100,14.53
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,200,16.45
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,300,18.43
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,400,20.11
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,500,21.81
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,600,24.47
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,700,26.25
0.34,0,0.291,0.14639,0.02,0,0,0,0,0.15,0.003,0,0.025,0,0.018,0.003,0,0,0,0,800,28.17
