Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,25
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,100
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,200
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,300
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,400
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,500
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,600
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,700
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,800
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,900
0.5458,0,0.175,0.174,0.0317,0.051,0,0.0014,0.0017,0.0045,0.005,0,0.0099,0,0,0,0,0,0,0,1000
